y_test,y_pred
50.0,47.58262499999999
80.0,79.1005
50.0,48.178124999999994
50.0,50.30875
50.0,49.746208333333335
40.0,43.271249999999995
40.0,43.012541666666664
37.0,38.20325
37.0,39.81158333333334
95.0,79.07663333333333
50.0,43.495841666666664
45.0,46.709500000000006
30.0,37.11141666666667
45.0,43.98791666666666
40.0,40.240916666666664
80.0,71.21629166666668
50.0,45.1895
50.0,46.6705
35.0,36.4195
70.0,59.6005
72.5,68.84891666666667
62.5,57.76420833333333
52.5,53.262916666666676
80.0,75.79870000000001
55.0,53.526375
55.0,53.882
60.0,60.70183333333333
60.0,58.654791666666654
95.0,89.10758333333334
95.0,87.56238333333333
95.0,91.38818333333333
30.0,33.23179166666667
60.0,54.72433333333333
67.5,61.22059166666667
55.0,49.57508333333333
85.0,82.25868333333332
40.0,52.85690833333332
67.5,71.23751666666666
50.0,46.374916666666664
60.0,66.03633333333333
32.5,35.61675
37.0,37.68326517857142
22.0,28.458979166666673
74.0,74.39097142857143
15.0,23.323875
33.5,36.205416666666665
33.5,37.54541666666666
80.0,79.43958333333333
50.0,45.94325
40.0,39.80666666666667
50.0,48.005833333333335
30.0,30.89175
50.0,47.835033333333335
20.0,27.20466666666667
22.0,31.903904761904762
40.0,40.73425
40.0,36.92041666666666
65.0,58.84825
30.0,32.802
40.0,39.79741666666666
55.0,49.04975
22.0,24.316
22.0,28.28741666666667
55.0,39.48116666666667
22.0,27.94875
37.0,38.22925
37.0,37.48275
22.0,24.087166666666665
55.0,49.401833333333336
55.0,49.81741666666667
30.0,34.805729166666666
30.0,35.23225
30.0,35.74308333333333
85.0,85.25568333333334
65.0,39.52483333333333
26.5,30.423666666666666
70.0,72.93068333333332
43.75,42.41981666666666
40.0,39.36225
28.0,33.609583333333326
60.0,53.59591666666667
80.0,69.68425000000002
60.0,54.49353333333333
35.0,37.20187500000001
51.0,47.11008333333333
30.0,34.53783333333334
50.0,30.55441666666667
40.0,42.31983333333333
50.0,45.9195
55.0,49.043416666666666
30.0,35.24308333333334
32.0,40.55041666666666
37.0,37.308416666666666
32.5,33.61716666666666
32.5,35.86179166666667
60.0,53.91425
22.0,28.806416666666664
32.5,33.78541666666666
32.5,35.078875
32.5,33.66566666666667
32.5,33.73475
37.0,37.1388125
22.0,40.0105
50.0,46.09789583333333
70.0,61.588166666666666
33.5,36.57625
33.5,35.4705
70.0,60.23575
55.0,51.52975
57.5,54.23433333333333
57.5,53.85625
35.0,35.995416666666664
75.0,65.05083333333333
40.0,39.517999999999994
53.0,47.6125
40.0,40.102875
28.0,31.71775
85.0,83.18243333333334
37.0,37.98454166666666
32.5,33.52941666666666
32.5,35.145125
30.0,32.878
37.0,37.350583333333326
37.0,37.804
55.0,59.03666666666666
65.0,64.67558333333334
40.0,40.14825
40.0,39.128
22.0,27.919333333333334
75.0,75.77935000000001
40.0,38.417791666666666
40.0,42.439416666666666
48.0,48.67775
50.0,51.095443452380984
30.0,33.10791666666667
20.0,25.99866666666667
50.0,46.444
50.0,37.754083333333334
50.0,48.03825
55.0,51.47124999999999
75.0,76.12891666666665
65.0,68.66875
70.0,70.5785
85.0,81.99310000000001
55.0,57.598333333333336
55.0,58.2105
60.0,64.4157
60.0,59.711666666666666
30.0,34.485083333333336
50.0,46.579416666666674
31.0,33.9318125
60.0,57.71583333333333
29.5,32.41704166666667
50.0,47.19475
72.5,62.616446428571464
55.0,42.210791666666665
75.0,43.03408333333333
57.0,51.324083333333334
90.0,89.44353333333333
80.0,81.02295833333332
85.0,92.3471
40.0,39.608
37.5,38.5345
60.0,52.39158333333334
80.0,81.45845
32.5,34.9195
50.0,46.80108333333333
85.0,70.57166666666667
80.0,73.12713333333335
40.0,43.59704166666666
45.0,42.677166666666665
80.0,78.803375
24.0,30.152541666666664
62.5,60.7775
50.0,50.796375
90.0,85.13243333333334
95.0,82.72066666666667
40.0,45.43575
25.0,29.432
30.0,34.603625
27.5,32.712666666666664
80.0,76.95641666666666
50.0,51.299
33.5,34.76583333333333
40.0,44.366
22.0,41.86079166666667
45.0,55.83183333333333
60.0,64.27495
36.5,37.14179166666667
50.0,49.86045833333332
40.0,43.505374999999994
40.0,43.74249999999999
50.0,47.25575
50.0,49.374125
50.0,50.8045
60.0,55.27575
70.0,63.729392857142855
37.0,37.7355
35.0,37.485
60.0,56.635
70.0,63.32783333333334
60.0,56.97929166666667
30.0,35.89566666666667
72.5,63.870875
60.0,56.905375
55.0,50.34433333333334
40.0,41.631983333333324
50.0,48.00308333333333
37.0,37.74991666666667
50.0,55.52258333333334
60.0,62.084
45.0,42.352625
27.5,28.5685
30.0,33.03566666666667
22.0,28.0735
85.0,83.25464166666667
50.0,46.24491666666666
25.0,30.08125
52.5,51.697625
45.0,43.06275
25.0,32.75666666666667
40.0,39.503395833333336
55.0,58.970333333333336
55.0,53.0103125
80.0,79.08601666666667
95.0,89.61026666666666
85.0,82.23908333333333
45.0,43.424416666666666
32.5,34.82983333333333
23.0,29.660333333333337
70.0,73.25733333333334
95.0,90.82503333333334
90.0,87.41641666666668
95.0,88.2181
33.0,34.8225
33.0,36.2175
25.0,31.42175
25.0,31.121916666666664
25.0,40.774125000000005
30.0,34.72891666666667
30.0,33.393833333333326
30.0,34.59091666666667
60.0,53.53654166666666
60.0,52.41158333333333
35.0,36.9725
35.0,36.5505
60.0,51.40479166666667
50.0,52.51533333333334
30.0,32.75425
40.0,39.52525
65.0,57.963
48.0,48.73504166666667
48.0,49.07841666666667
50.0,50.33412500000001
40.0,40.42791666666666
40.0,39.132949999999994
30.0,39.369208333333326
50.0,49.48220833333333
52.5,49.356833333333334
80.0,66.39558333333335
38.75,40.438125
38.75,40.76175
32.5,36.067833333333326
60.0,65.230375
55.0,50.2005
50.0,49.68475
80.0,77.69066666666667
45.0,43.545
30.0,34.93039583333333
70.0,72.63035
37.0,37.58341666666667
30.0,34.44825
50.0,45.84525
4.0,18.879125
4.0,17.40575
37.0,40.597208333333334
60.0,67.27944999999998
20.0,26.70841666666667
45.0,49.43225
70.0,77.00511666666667
50.0,49.34645833333334
33.5,38.071749999999994
4.0,16.68575
50.0,46.197
4.0,16.90075
50.0,46.56561666666667
50.0,45.776
60.0,51.73616666666666
35.0,33.03475
25.0,29.300458333333335
29.5,33.314616666666666
37.0,40.617541666666675
29.5,32.19875
